Tamanho,log,sqrt,pow3,pow3mult,soma
100,0,0,0,0,0
1000,0,0,0,0,0
10000,0,0,0,0,0
100000,2,2,4,1,1
1000000,23,19,48,20,18
10000000,232,182,479,202,182
100000000,2360,1858,4921,2110,1880
