Tamanho,log,sqrt,pow3,pow3mult,soma
100,0,0,0,0,0
1000,0,0,0,0,0
10000,0,0,0,0,0
100000,0,0,1,0,0
1000000,0,0,19,0,1
10000000,8,7,188,0,14
100000000,109,103,1905,0,152
